EmployeeCount,Ticker
79,XXII
421,ACU
25,ATNM
575,AE
5,UAVS
275,AIRI
79,AXU
356,ALO
9,AAU
112,APT
62,AAMC
"1,694",AMBO
684,DIT
717,ALN
9,AMS
586,USAS
17,AMPE
31,APHB
102,AINC
31,AST
22,AUG
423,AWX
"3,109",BTG
335,BTN
80,BKJ
423,BHB
28,BRN
349,BGSF
27,BPMX
92,BTX
348,BGI
111,BKTI
117,BDR
211,BVX
Now you can search stock related news and private companies such as Airbnb.,CMCL
7,CANF
57,ROX
12,CAW
290,LEU
695,CCF
"1,230",LNG
219,CVR
276,CPHI
3,CKX
87,COHN
"4,000",MOC
520,CIX
12,LODE
14,CDOR
14,CTO
63,MCF
590,CUO
"1,304",CMT
106,CVRS
14,CRMD
230,CVU
18,CRHM
302,CTEK
"7,700",DLA
68,DNN
52,DGSE
98,DSS
74,DPW
38,DXF
115,ELMD
9,ELLO
102,EMAN
27,MSN
117,UUUU
249,ENSV
66,ESNC
8,EGI
138,EVI
136,ESP
271,EVBN
5,EPM
979,BDL
25,FSI
39,FSP
89,FRD
223,FTNW
46,GST
475,JOB
14,GMO
128,GSB
333,GSAT
55,GLOW
16,GORO
17,GSV
160,AUMN
901,GSS
363,GV
48,GDP
324,GTE
407,GPL
"4,678",SIM
530,GLF
25,HEB
3,HUSA
43,IBIO
645,IEC
3,IMUC
588,IMH
"5,400",IMO
16,IGC
234,INFU
150,IHT
36,NSPR
29,IDN
350,INS
7,THM
199,INTT
65,INUV
36,ISR
66,ISDR
527,ITP
"1,379",LTS
"1,379",LTSL
"1,379",LTSF
11,LEVB
136,LGL
"6,230",LBY
27,LLEX
62,LIQT
8,MAG
"2,248",MJCO
"1,400",MHH
15,MTNB
"3,900",MNI
3,MXC
94,MICR
14,MLSS
22,MYO
7,NNVC
"14,850",NHC
19,NAVB
3,NTIP
"1,260",UWN
6,GBR
"1,834",NGD
700,HLTH
18,NOG
86,NBY
13,NG
104,NTN
791,NES
16,OCX
6,OGEN
472,TIS
2,ORM
22,PTN
6,PZG
62,TEUM
"1,746",PRK
6,PED
64,PFNX
19,PLG
13,PLYM
1,PW
190,PLX
714,RLGT
26,RFL
52,REED
12,RHE
146,RVP
17,RNN
37,REI
"11,800",SEB
94,SENS
308,SVT
"1,362",SMTS
491,SIF
"1,190",SVM
9,SILV
5,XPL
114,SGB
306,LOV
141,SRCI
356,SDI
54,SDPI
24,SYN
117,TKAT
703,TGB
40,TIK
14,TGC
925,TMP
146,TAT
119,TRXC
8,TMQ
9,TPHS
679,TRT
"1,023",UFAB
103,UAMY
14,UUU
51,UQM
50,URG
45,UEC
21,VHC
12,VGZ
37,VNRX
"1,500",VISI
247,WYY
149,WTT
174,XTNT
26,YUMA
57,ZDGE
20,ZOM
