,Date,Research & Development Cost,Revenue,Ticker,Total Operating Expences,Name,EmployeeCount,GlobalParty
16,12/31/2017,0.0,275357000.0,SRCE,168326000.0,1ST SOURCE CORPORATION,"1,125",1 1ST SOURCE RESEARCH INC
17,12/31/2016,0.0,252771000.0,SRCE,158898000.0,1ST SOURCE CORPORATION,"1,125",1 1ST SOURCE RESEARCH INC
18,12/31/2015,0.0,247677000.0,SRCE,154885000.0,1ST SOURCE CORPORATION,"1,125",1 1ST SOURCE RESEARCH INC
19,12/31/2014,0.0,234483000.0,SRCE,145279000.0,1ST SOURCE CORPORATION,"1,125",1 1ST SOURCE RESEARCH INC
44,12/31/2017,0.0,405232000.0,AAON,331084000.0,"AAON, INC.","1,991",1 AAON INC
45,12/31/2016,0.0,383977000.0,AAON,304033000.0,"AAON, INC.","1,991",1 AAON INC
46,12/31/2015,0.0,358632000.0,AAON,286937000.0,"AAON, INC.","1,991",1 AAON INC
47,12/31/2014,0.0,356322000.0,AAON,284419000.0,"AAON, INC.","1,991",1 AAON INC
57,3/31/2018,73960000.0,593749000.0,ABMD,435275000.0,"ABIOMED, INC.","1,143",1 ABIOMED INC
58,3/31/2017,64796000.0,445304000.0,ABMD,353576000.0,"ABIOMED, INC.","1,143",1 ABIOMED INC
59,3/31/2016,48706000.0,329543000.0,ABMD,263386000.0,"ABIOMED, INC.","1,143",1 ABIOMED INC
60,3/31/2015,35463000.0,230311000.0,ABMD,201135000.0,"ABIOMED, INC.","1,143",1 ABIOMED INC
65,12/31/2017,0.0,20255000.0,ACIU,42794000.0,AC IMMUNE SA,75,1 AC IMMUNE SA
66,12/31/2016,0.0,23214000.0,ACIU,33670000.0,AC IMMUNE SA,75,1 AC IMMUNE SA
67,12/31/2015,0.0,39090000.0,ACIU,20466000.0,AC IMMUNE SA,75,1 AC IMMUNE SA
68,12/31/2014,0.0,30269000.0,ACIU,19552000.0,AC IMMUNE SA,75,1 AC IMMUNE SA
69,12/31/2017,92027000.0,385166000.0,ACIA,348160000.0,"ACACIA COMMUNICATIONS, INC.",354,1 ACACIA COMMUNICATIONS INC
70,12/31/2016,75696000.0,478412000.0,ACIA,360797000.0,"ACACIA COMMUNICATIONS, INC.",354,1 ACACIA COMMUNICATIONS INC
71,12/31/2015,38645000.0,239056000.0,ACIA,197119000.0,"ACACIA COMMUNICATIONS, INC.",354,1 ACACIA COMMUNICATIONS INC
72,12/31/2014,28471000.0,146234000.0,ACIA,128644000.0,"ACACIA COMMUNICATIONS, INC.",354,1 ACACIA COMMUNICATIONS INC
81,12/31/2017,149189000.0,124901000.0,ACAD,417311000.0,ACADIA PHARMACEUTICALS INC.,420,1 ACADIA PHARMACEUTICALS INC
82,12/31/2016,149189000.0,17331000.0,ACAD,290146000.0,ACADIA PHARMACEUTICALS INC.,420,1 ACADIA PHARMACEUTICALS INC
83,12/31/2015,149189000.0,61000.0,ACAD,155073000.0,ACADIA PHARMACEUTICALS INC.,420,1 ACADIA PHARMACEUTICALS INC
84,12/31/2014,149189000.0,120000.0,ACAD,93350000.0,ACADIA PHARMACEUTICALS INC.,420,1 ACADIA PHARMACEUTICALS INC
89,12/31/2017,22301000.0,4177000.0,AXDX,68361000.0,"ACCELERATE DIAGNOSTICS, INC.",239,1 ACCELERATE DIAGNOSTICS INC
90,12/31/2016,29564000.0,246000.0,AXDX,66747000.0,"ACCELERATE DIAGNOSTICS, INC.",239,1 ACCELERATE DIAGNOSTICS INC
91,12/31/2015,27142000.0,147000.0,AXDX,45696000.0,"ACCELERATE DIAGNOSTICS, INC.",239,1 ACCELERATE DIAGNOSTICS INC
92,12/31/2014,19526000.0,122000.0,AXDX,31109000.0,"ACCELERATE DIAGNOSTICS, INC.",239,1 ACCELERATE DIAGNOSTICS INC
93,12/31/2017,89726000.0,13481000.0,XLRN,123464000.0,ACCELERON PHARMA INC.,139,1 ACCELERON PHARMA INC
94,12/31/2016,48860000.0,27771000.0,XLRN,93877000.0,ACCELERON PHARMA INC.,139,1 ACCELERON PHARMA INC
95,12/31/2015,36503000.0,18097000.0,XLRN,78976000.0,ACCELERON PHARMA INC.,139,1 ACCELERON PHARMA INC
96,12/31/2014,30316000.0,14632000.0,XLRN,65096000.0,ACCELERON PHARMA INC.,139,1 ACCELERON PHARMA INC
101,6/30/2018,57251000.0,404897000.0,ARAY,408694000.0,ACCURAY INCORPORATED,998,1 ACCURAY INCORPORATED
102,6/30/2017,49921000.0,383414000.0,ARAY,393237000.0,ACCURAY INCORPORATED,998,1 ACCURAY INCORPORATED
103,6/30/2016,56652000.0,398800000.0,ARAY,403673000.0,ACCURAY INCORPORATED,998,1 ACCURAY INCORPORATED
104,6/30/2015,55752000.0,379801000.0,ARAY,398970000.0,ACCURAY INCORPORATED,998,1 ACCURAY INCORPORATED
116,12/31/2017,95598000.0,11175000.0,AKAO,137501000.0,"ACHAOGEN, INC.",286,1 ACHAOGEN INC
117,12/31/2016,95598000.0,41773000.0,AKAO,91121000.0,"ACHAOGEN, INC.",286,1 ACHAOGEN INC
