EmployeeCount,Ticker
30,PIH
30,PIHPP
176,FCCY
"1,125",SRCE
"2,267",VNET
"1,808",TWOU
51,TPNL
"6,967",JOBS
"1,225",EGHT
367,AVHI
"1,991",AAON
42,ABEO
17,ABIL
"1,143",ABMD
112,AXAS
75,ACIU
354,ACIA
13,ACTG
"27,500",ACHC
420,ACAD
239,AXDX
139,XLRN
415,ANCX
998,ARAY
43,ACRX
10,ACER
286,ACET
286,AKAO
13,ACHV
88,ACHN
"3,979",ACIW
96,ACRS
191,ACMR
358,ACNB
484,ACOR
"9,625",ATVI
"3,380",ACXM
153,ADMS
108,ADMP
398,ADAP
"31,835",ADUS
173,AEY
102,IOTS
3,ADIL
291,ADMA
"17,973",ADBE
11,ADOM
"2,060",ADTN
155,ADRO
29,ADES
"1,876",AEIS
"8,900",AMD
108,ADXS
86,ADVM
"5,820",AEGN
50,AGLE
86,AEHR
139,AMTX
160,AERI
697,AVAV
25,ARPO
6,AEMD
17,GNMX
80,AFMD
255,AGEN
13,AGRX
841,AGYS
382,AGIO
109,AGMH
56,AGNC
56,AGNCB
56,AGNCN
284,AGFS
185,AIMT
775,AIRT
"3,010",ATSG
92,AIRG
"1,052",AMCN
"7,443",AKAM
17,AKTX
100,AKCA
113,AKBA
32,AKER
"2,284",AKRX
69,AKTS
828,ALRM
578,ALSK
22,ALBO
193,ALDR
15,ALDX
"2,525",ALXN
283,ALCO
"8,715",ALGN
118,ALIM
"5,229",ALJJ
"2,000",ALKS
44,ALLK
375,ABTX
"3,840",ALGT
30,ALNA
34,AMMA
"3,321",ARLP
218,AHPI
"1,250",AMOT
60,ALQA
404,ALLT
"8,900",MDRX
749,ALNY
"3,340",AOSL
"89,058",GOOG
"89,058",GOOGL
138,ATEC
38,ALPN
"2,400",ALTR
30,ALT
"7,428",ASPS
"4,580",AIMC
762,AMAG
241,AMRN
125,AMRK
"575,700",AMZN
124,AMBC
706,AMBA
"1,872",AMCX
"25,000",DOX
33,AMDA
"18,300",AMED
"13,050",UHAL
417,AMRH
"189,975",AMOV
"131,600",AAL
246,AETI
323,AMNB
"4,621",ANAT
"1,994",AOBC
"1,495",APEI
"1,932",ARII
100,AMRB
462,AMSWA
231,AMSC
"9,400",AMWD
"1,504",CRMT
"1,882",ABCB
436,AMSF
295,ASRV
227,ATLO
"20,800",AMGN
325,FOLD
"29,300",AMKR
"1,644",AMPH
455,ASYS
"9,300",AFSI
414,AMRS
"15,300",ADI
60,ANAB
10,AVXL
"3,900",ANGI
"1,145",ANGO
173,ANIP
123,ANIK
"3,200",ANSS
111,ATRS
60,APLS
"6,700",APOG
213,APEN
482,AMEH
672,APPF
"2,000",APPN
"100,000",AAPL
55,APDN
72,AGTC
"20,700",AMAT
"3,054",AAOI
97,AREX
852,APTI
11,APRI
121,APVO
60,APTX
18,APTO
69,AQMS
44,AQB
195,AQST
27,AQXP
23,ARDM
84,PETX
130,ABUS
576,ARCW
20,ABIO
42,RKDA
"13,000",ARCB
"3,140",ACGL
"3,140",ACGLO
"3,140",ACGLP
68,FUV
60,ARCT
75,ARDX
159,ARNA
73,ARGX
25,ARDS
"1,322",ARKR
489,ARTX
31,ARQL
298,ARRY
"8,700",ARRS
533,AROW
93,ARWR
43,ASNS
233,ARTNA
110,ARTW
"16,000",ASNA
137,ASND
"1,280",ASCMA
"1,353",APWC
"17,994",ASML
305,ASPU
"1,466",AZPN
89,ASMB
434,ASRT
188,ASFI
"4,437",ASTE
"2,516",ATRO
352,ALOT
42,ASTC
315,ASUR
156,ASV
551,ATAI
267,ATRA
"5,156",ATHN
471,ATNX
66,ATHX
154,AAME
331,ACBI
185,AY
290,ATLC
"2,870",AAWW
264,AFH
264,AFHBL
"2,638",TEAM
"1,800",ATNI
16,ATOM
3,ATOS
570,ATRC
528,ATRI
370,ATIS
256,ATTU
42,LIFE
156,AUBN
152,BOLD
698,AUDC
33,AUPH
20,EARS
518,JG
"8,800",ADSK
82,AUTL
"57,000",ADP
228,AUTO
169,AVDL
2,ATXI
19,AVEO
704,AVNW
185,CDMO
185,CDMOP
"1,458",AVID
65,AVGR
"31,000",CAR
"15,400",AVT
34,AVRO
68,AWRE
896,ACLS
184,AXGN
949,AAXN
27,AXSM
"1,014",AXTI
13,AZRX
"11,677",BCOM
833,RILY
833,RILYG
833,RILYH
833,RILYL
833,RILYZ
78,BOSC
"39,343",BIDU
"1,165",BCPC
"1,782",BANF
144,BCTF
378,BAND
189,BOCH
288,BMRC
74,BKSC
143,BOTJ
"2,400",OZK
250,BFIN
145,BWFG
"2,078",BANR
"3,994",BZUN
"124,212",BBSI
"2,618",BSET
165,BCML
314,BCBP
"5,406",BECN
813,BBGI
"65,000",BBBY
"1,300",BGNE
"7,491",BELFA
"7,491",BELFB
20,BLPH
137,BLCM
765,BNCL
"1,450",BNFT
32,BYSI
"9,238",BGCP
"9,000",BGFV
"1,903",BILI
151,BASI
95,BIOC
85,BCRX
115,BDSI
138,BFRA
"7,300",BIIB
26,BHTG
25,BKYI
195,BIOL
40,BLFS
51,BLRX
"2,581",BMRN
54,BMRA
65,BNGOU
14,BVXV
9,BPTH
"1,727",BIOS
5,BSTC
200,BSPM
"1,943",TECH
"1,600",BEAT
4,BTAI
"21,700",BJRI
"3,228",BBOX
"3,182",BLKB
806,BL
"94,000",BLMN
487,BCOR
"2,311",BLBD
245,BHBK
600,BLUE
370,BKEP
370,BKEPP
181,BPMC
"9,100",BMCH
801,BOFI
725,BOFIL
332,WIFI
"9,900",BOJA
"4,875",BOKF
"4,875",BOKFL
266,BNSO
"24,000",BKNG
509,BRQS
86,BOMN
925,BPFH
"1,700",EPAY
43,BOXL
29,BCLI
480,BDGE
125,BWB
544,BRID
494,BCOV
"1,260",BHF
"14,000",AVGO
104,BVSN
63,BYFC
399,BWEN
"17,000",BPY
"1,700",BPR
"1,700",BPRAP
717,BRKL
"1,661",BRKS
"6,200",BRKR
623,BMTC
123,BLMT
192,BSQR
"15,000",BLDR
241,BFST
650,CFFI
"15,177",CHRW
"11,300",CA
"1,150",CCMP
"7,200",CDNS
10,CDZI
"65,000",CZR
"1,545",CSTE
298,PRSS
840,CAMP
"2,516",CVGW
73,CALA
"3,419",CALM
"1,600",CLMT
35,CLXT
600,ABCD
238,CATC
650,CAC
274,CAMT
"12,129",CSIQ
218,CGIX
267,CPHC
789,CCBG
20,CSWC
19,CSWCL
582,CFFN
39,CAPR
183,CSTR
151,CPST
37,CARA
932,CBLK
941,CARB
652,CSII
356,CDLX
"2,271",CATM
169,CDNA
"2,416",CECO
50,CTRE
549,CARG
730,CARO
81,CART
249,CRZO
"23,500",TAST
123,CARV
76,CASM
705,CASA
"2,000",CWST
"17,917",CASY
49,CASI
840,CASS
36,CATB
13,CBIO
21,CPRX
136,CATS
"1,271",CATY
"4,500",CVCO
201,CBFV
587,CBAK
889,CBOE
488,CBTX
"8,500",CDK
46,CDTI
"8,917",CDW
880,CECE
22,CELC
"7,467",CELG
192,CLDX
24,APOP
15,CLRB
131,CLLS
125,CBMG
21,CLSN
39,CELH
80,CYAD
548,CETX
548,CETXP
104,CDEV
"1,200",CSFL
"2,200",CETV
62,CFBK
"5,000",CENT
"5,000",CENTA
324,CVCY
"1,864",CENX
385,CNBKA
"1,554",CNTY
905,CRNT
38,CERC
"26,000",CERN
215,CERS
313,CEVA
92,CSBR
"2,469",CYOU
886,BURG
69,CTHR
"4,424",GTLS
"94,800",CHTR
351,CHFN
"4,576",CHKP
48,CHEK
6,CKPT
165,CEMI
"3,187",CHFC
66,CCXI
371,CHMG
60,CHKE
46,CHFS
16,CHMA
