Date,Research & Development Cost,Revenue,Ticker,Total Operating Expences
12/31/2017,0,38148000,PIH,36284000
12/31/2016,0,32256000,PIH,31782000
12/31/2015,0,27130000,PIH,23517000
12/31/2014,0,18965000,PIH,13236000
12/31/2017,0,38148000,PIHPP,36284000
12/31/2016,0,32256000,PIHPP,31782000
12/31/2015,0,27130000,PIHPP,23517000
12/31/2014,0,18965000,PIHPP,13236000
12/31/2017,0,1229.923,TURN,3988.389
12/31/2016,0,1792.19,TURN,5378.306
12/31/2015,0,916.995,TURN,7246.28
12/31/2014,0,517.8,TURN,7981.799
7/1/2018,39258000,1151921000,FLWS,1109647000
7/2/2017,38903000,1193625000,FLWS,1146266000
7/3/2016,39234000,1173024000,FLWS,1129842000
6/28/2015,34745000,1121506000,FLWS,1083889000
12/31/2017,0,43676000,FCCY,30339000
12/31/2016,0,41199000,FCCY,26764000
12/31/2015,0,40173000,FCCY,26053000
12/31/2014,0,33767000,FCCY,25855000
12/31/2017,0,275357000,SRCE,168326000
12/31/2016,0,252771000,SRCE,158898000
12/31/2015,0,247677000,SRCE,154885000
12/31/2014,0,234483000,SRCE,145279000
12/31/2017,149143000,3392705000,VNET,3592058000
12/31/2016,149337000,3641774000,VNET,4182330000
12/31/2015,142835000,3634372000,VNET,3875280000
12/31/2014,121676000,2876447000,VNET,2968518000
12/31/2017,45926000,286752000,TWOU,316890000
12/31/2016,33283000,205864000,TWOU,226896000
12/31/2015,27211000,150194000,TWOU,176292000
12/31/2014,22621000,110239000,TWOU,138117000
12/31/2017,0,15234.091,TPNL,13466.299
12/31/2016,0,10416.672,TPNL,9058.063
12/31/2015,0,8107.541,TPNL,8116.413
12/31/2014,0,10293.18,TPNL,7541.625
12/31/2017,0,0,JOBS,0
12/31/2016,0,2338334000,JOBS,1726495000
12/31/2015,0,2055220000,JOBS,1487514000
12/31/2014,0,1832453000,JOBS,1308840000
3/31/2018,34797000,296500000,EGHT,328927000
3/31/2017,27452000,253388000,EGHT,260057000
3/31/2016,24040000,209336000,EGHT,215410000
