EmployeeCount,Ticker
"2,666",DDD
"91,000",MMM
408,WBAI
"21,347",WUBA
"1,225",EGHT
"1,090",AHC
855,ATEN
"2,100",AAC
"5,000",AIR
"11,900",AAN
"134,800",ABB
"99,000",ABT
"30,000",ABBV
"7,000",ANF
"130,000",ABM
118,AKR
"449,000",ACN
"6,620",ACCO
128,ATV
"5,400",ATU
"12,500",AYI
"5,230",GOLF
"7,790",AGRO
"85,000",ADNT
"17,500",ADT
"8,512",ATGE
"40,000",AAP
"5,939",ADSW
"4,400",WMS
"1,510",ASIX
29,AAV
"87,000",ACM
"28,318",AEB
"28,318",AED
"28,318",AEG
"28,318",AEH
405,AER
490,HIVE
"5,157",AJRD
"47,950",AET
"4,400",AMG
"11,318",AFL
"20,462",AGCO
"14,500",A
"5,514",AEM
32,ADC
87,AL
"15,000",APD
111,AYR
"9,200",AKS
"3,280",ALG
"1,700",AGI
"21,461",ALK
"4,400",AIN
"5,400",ALB
"14,600",AA
836,ALEX
77,ALX
323,ARE
"2,241",AQN
"86,833",BABA
"4,402",Y
"8,600",ATI
"10,000",ALLE
"17,800",AGN
"1,926",ALE
"20,000",ADS
"3,450",AOI
"3,466",AB
"3,989",LNT
"2,700",ALSN
"42,460",ALL
"7,900",ALLY
674,AYX
"9,047",ATUS
"8,300",MO
692,AMBR
"51,400",ABEV
"4,332",AMC
"8,615",AEE
"1,000",AMRC
"189,975",AMOV
"189,975",AMX
193,AAT
"25,000",AXL
"3,183",ACC
"7,500",AEO
"17,666",AEP
515,AEL
"55,000",AXP
"7,600",AFG
"7,600",AFGE
"7,600",AFGH
"1,135",AMH
"49,800",AIG
"4,692",ARA
758,AWR
"4,752",AMT
605,AVD
"6,900",AWK
"11,000",COLD
"13,000",AMP
"19,000",ABC
236,ANFI
"2,980",AMN
"5,210",AMRX
"1,943",AP
"70,000",APH
338,AXR
"16,900",AME
"9,300",AFSS
"9,300",AFST
"4,400",APC
"14,300",ANDV
518,ANDX
"51,000",AU
"180,000",BUD
"8,900",AXE
6,NLY
608,AR
"56,000",ANTM
"50,000",AON
"3,356",APA
"1,350",AIV
"1,052",APO
"6,634",AIT
"13,200",ATR
"150,000",APTV
253,AQ
600,WAAS
"270,000",ARMK
445,ABR
"2,500",ARC
"197,108",MT
"3,790",ARCH
"31,000",ADM
"1,700",AROC
"41,500",ARNC
"90,000",ARCO
83,RCUS
"23,491",ARD
46,ASC
107,AFC
"1,000",ARES
"1,552",AGX
"1,368",ARGO
"1,800",ANET
12,AI
12,AIC
12,AIW
160,AHH
"3,500",AFI
"2,200",AWI
"18,800",ARW
"21,944",AJG
400,APAM
"8,000",ABG
"93,664",ASX
"3,800",ASGN
"6,500",ASH
263,ASPN
"1,334",AHL
"4,780",ASB
71,AC
"13,600",AIZ
"13,600",AIZP
310,AGO
"61,100",AZN
"4,400",HOME
"273,210",T
"273,210",TBB
"150,000",ATTO
"1,125",ATH
"3,600",ATKR
246,AT
"4,565",ATO
"4,030",ATHM
"57,588",ALV
"26,000",AN
"53,070",AZO
"1,495",AVLR
"3,112",AVB
"6,500",AGR
"13,000",AVNS
"8,134",AVYA
"30,000",AVY
"25,306",AVH
"1,948",AVA
"25,000",AVP
"14,920",AVX
"7,500",EQH
"14,000",AXTA
"1,647",AXS
"11,122",AZUL
539,AZRE
"3,650",AZZ
"2,621",BGS
"4,800",BW
"1,632",BMI
"64,000",BHGE
"17,500",BLL
722,BANC
"131,784",BBVA
"97,683",BBD
"97,683",BBDO
"18,268",BSMX
"11,453",BSAC
"200,961",SAN
"31,000",CIB
"4,366",BXS
"208,000",BAC
"2,173",BOH
"45,200",BMO
"1,117",NTB
"52,000",BK
"96,988",BNS
"1,698",BKU
"79,900",BCS
27,BBDC
"6,600",BNED
"8,057",BKS
"5,375",B
"18,421",ABX
"4,100",BAS
"20,700",BHC
"47,000",BAX
228,BTE
"35,782",BBT
"6,084",BFR
"6,914",BBX
"51,679",BCE
"1,100",BZH
"65,000",BDX
"65,000",BDXA
"8,800",BDC
157,BXE
"9,100",BEL
"16,000",BMS
"10,600",BHE
"2,004",BHLB
"23,000",BERY
"125,000",BBY
"8,784",BSTI
"11,000",BIG
"20,732",BH
53,BHVN
"8,000",BIO
"7,889",BITA
"26,520",BJ
"2,744",BKH
"2,744",BKHU
"4,430",BKI
"3,288",BB
"14,100",BLK
"1,452",BE
"3,281",APRN
"5,412",BXG
"2,500",BXC
"140,800",BA
"6,570",BCC
156,BCEI
"1,200",BOOT
"24,600",BAH
"29,000",BWA
"1,439",SAM
740,BXP
"29,000",BSX
"1,784",BOX
"19,707",BYD
"69,700",BP
"6,300",BRC
342,BDN
"2,400",BPI
"5,185",BGG
"31,600",BFAM
"6,228",BEDU
88,BSA
88,BSIG
"17,950",BV
"58,478",EAT
"62,000",BCO
"23,700",BMY
"4,058",BRS
"60,593",BTI
464,BRX
"10,000",BR
"49,500",BKD
"81,200",BAM
"26,900",BBU
"8,491",BRO
12,BRT
"15,116",BC
"105,800",BT
270,BPL
"3,000",BKE
"1,000",BBW
"32,000",BG
"40,000",BURL
"6,100",BWXT
950,BY
"6,274",CJ
"2,310",CABO
"4,500",CBT
468,COG
"18,800",CACI
880,WHD
"1,200",CADE
"9,000",CAE
215,CAI
"12,000",CAL
"1,450",CRC
"1,171",CWT
"1,031",CALX
"2,100",ELY
169,CPE
"1,228",CBM
"1,600",CPT
"2,620",CCJ
"9,877",CWH
"2,900",GOOS
"45,091",CM
"25,654",CNI
"9,973",CNQ
"12,830",CP
"2,372",CANG
"27,385",CNNE
"197,776",CAJ
"1,435",CGC
"2,337",CMD
"47,800",COF
"4,413",CSU
13,CMO
424,CRR
"50,200",CAH
428,CRCM
"14,000",CSL
"25,000",KMX
"99,200",CCL
"99,200",CUK
"4,800",CRS
"1,145",CSV
"1,100",CARS
"20,900",CRI
"1,864",CVNA
527,CSLT
"10,700",CTLT
"101,600",CAT
"10,500",CATO
"4,600",CBZ
560,CBL
"80,000",CBRE
"12,700",CBS
"2,200",FUN
76,CDR
"7,700",CE
"23,400",CLS
"3,358",CEL
"41,822",CX
"2,882",CVE
"33,700",CNC
"7,977",CNP
"21,235",EBR
"1,089",CEPU
"1,011",CCS
"47,000",CTL
"4,212",CDAY
"3,000",CF
"5,300",CGG
"74,000",GIB
216,CHAP
"2,128",CHRA
"11,800",CRL
45,CLDT
"2,465",CMCM
893,CHGG
"14,813",CHE
"7,000",CC
4,CHMI
"3,200",CHK
14,CHSP
945,CPK
"51,900",CVX
"5,700",CHS
38,CIM
"2,061",DL
"75,277",CEA
"102,297",LFC
"464,656",CHL
"1,132",BORN
"2,859",COE
"446,225",SNP
"3,411",XRF
"96,234",ZNH
"284,206",CHA
"252,555",CHU
"8,678",CYD
"70,000",CMG
"1,987",CHH
"1,248",CBK
"31,000",CB
"4,700",CHD
"5,889",CIEN
"46,000",CI
910,XEC
"3,500",CBB
"11,729",CNK
"4,400",CIR
"4,000",CISN
"3,843",CIT
"205,000",C
"17,699",CFG
17,CIO
"1,700",CVEO
"22,900",CIVI
"12,700",CLH
"5,700",CCO
"3,280",CLW
"2,938",CLF
177,CLPR
"8,700",CLX
"1,300",CLD
"1,648",CLDR
"7,822",CMS
"7,822",CMSA
"6,300",CNA
"63,356",CNHI
"3,300",CNO
"18,802",CEO
"1,692",CEIX
561,CNX
"93,911",KOF
"61,800",KO
"23,551",CCE
"2,257",CDE
303,CNS
"14,300",CFX
"35,900",CL
400,CLNY
94,CXP
"7,868",CMA
"8,700",FIX
"8,797",CMC
"2,600",CBU
"77,000",CYH
16,CHCT
"5,864",CIG
"91,000",CBD
"14,582",SBS
"8,288",ELP
"8,210",CCU
"3,827",CODI
"3,090",CMP
113,CRK
"12,400",CAG
"1,203",CXO
583,CCM
"84,000",CNDT
"11,200",COP
"15,591",ED
"9,600",STZ
"12,000",CSTM
"2,050",TCS
621,CBPX
"1,127",CLR
"4,684",VLRS
"110,000",CVG
"9,204",CTB
"32,000",CPS
"9,045",CPA
"4,600",CLB
"12,875",CXW
"5,900",CLGX
18,CORR
"6,944",CPLG
450,COR
"46,200",GLW
"6,102",CAAP
375,OFC
"2,400",CMRE
"10,400",COT
"20,000",COTY
261,CUZ
"3,700",CVA
"2,400",CVIA
766,CPF
"12,000",CR
"33,447",BAP
"45,430",CS
"1,085",CPG
941,CEQP
"85,000",CRH
604,CAPL
"4,500",CCI
