Date,Research & Development Cost,Revenue,Ticker,Total Operating Expences
12/31/2017,94627000,646069000,DDD,700042000
12/31/2016,88395000,632965000,DDD,660685000
12/31/2015,92770000,666163000,DDD,759626000
12/31/2014,75395000,653652000,DDD,619343000
12/31/2017,1842000000,31657000000,MMM,24324000000
12/31/2016,1735000000,30109000000,MMM,22997000000
12/31/2015,1751000000,30274000000,MMM,23261000000
12/31/2014,1770000000,31821000000,MMM,24686000000
12/31/2017,64141000,131323000,WBAI,463425000
12/31/2016,67695000,10928000,WBAI,367550000
12/31/2015,59996000,99552000,WBAI,405160000
12/31/2014,56298000,579717000,WBAI,428569000
12/31/2017,1193441000,10068780000,WUBA,8272315000
12/31/2016,885697000,7592127000,WUBA,7358420000
12/31/2015,574096000,4478098000,WUBA,6058313000
12/31/2014,268336000,1628120000,WUBA,1586815000
3/31/2018,34797000,296500000,EGHT,328927000
3/31/2017,27452000,253388000,EGHT,260057000
3/31/2016,24040000,209336000,EGHT,215410000
3/31/2015,15118000,162413000,EGHT,159531000
12/31/2017,0,248626000,AHC,255335000
12/31/2016,0,259984000,AHC,261048000
12/31/2015,0,272108000,AHC,290403000
12/31/2014,0,272788000,AHC,280474000
12/31/2017,62991000,235429000,ATEN,245801000
12/31/2016,60700000,227297000,ATEN,245778000
12/31/2015,54843000,196285000,ATEN,234390000
12/31/2014,49903000,179507000,ATEN,212615000
12/31/2017,0,280727000,AAC,263701000
12/31/2016,0,258285000,AAC,247538000
12/31/2015,0,194148000,AAC,171040000
12/31/2014,0,121577000,AAC,109545000
5/31/2018,0,1748300000,AIR,1662300000
5/31/2017,0,1590800000,AIR,1508500000
5/31/2016,0,1525400000,AIR,1449900000
5/31/2015,0,1621400000,AIR,1638300000
12/31/2017,0,3383708000,AAN,2959390000
12/31/2016,0,3207716000,AAN,2817164000
12/31/2015,0,3179756000,AAN,2802411000
12/31/2014,0,2695033000,AAN,2432752000
12/31/2017,1371000000,34312000000,ABB,30978000000
12/31/2016,1305000000,33828000000,ABB,30336000000
12/31/2015,1368000000,35481000000,ABB,31818000000
12/31/2014,1499000000,39830000000,ABB,36155000000
12/31/2017,2158000000,27390000000,ABT,24450000000
12/31/2016,1358000000,20853000000,ABT,17576000000
12/31/2015,1371000000,20405000000,ABT,17443000000
12/31/2014,1286000000,20247000000,ABT,17359000000
12/31/2017,4982000000,28216000000,ABBV,17573000000
12/31/2016,4366000000,25638000000,ABBV,16015000000
12/31/2015,4101000000,22859000000,ABBV,14003000000
12/31/2014,3297000000,19960000000,ABBV,14460000000
2/3/2018,0,3492690000,ANF,3398179000
1/28/2017,0,3326740000,ANF,3322304000
1/30/2016,0,3518680000,ANF,3411699000
1/31/2015,0,3744030000,ANF,3578793000
10/31/2017,0,5453600000,ABM,5325200000
10/31/2016,0,5144700000,ABM,5033300000
10/31/2015,0,4897800000,ABM,4806900000
10/31/2014,0,4649700000,ABM,4534900000
12/31/2017,0,258273000,AKR,218488000
12/31/2016,0,221677000,AKR,168050000
12/31/2015,0,230885000,AKR,149601000
12/31/2014,0,291651000,AKR,128749000
8/31/2017,0,34850182000,ACN,29707780000
8/31/2016,0,32882723000,ACN,28072278000
8/31/2015,0,31047931000,ACN,26547680000
8/31/2014,0,30002394000,ACN,25719897000
12/31/2017,0,1948800000,ACCO,1717700000
